連用形,ます形,て形規則,課本,課編號
寝,寝ます,E,初級1,4
休み,休みます,C,初級1,4
働き,働きます,A,初級1,4
勉強し,勉強します,E,初級1,4
行き,行きます,D,初級1,5
き,きます,E,初級1,5
働き,働きます,A,初級1,5
歩き,歩きます,A,初級1,5
食べ,食べます,E,初級1,6
飲み,飲みます,C,初級1,6
働き,働きます,A,初級1,6
歩き,歩きます,A,初級1,6
読み,読みます,C,初級1,6
書き,書きます,A,初級1,6
買い,買います,D,初級1,6
撮り,撮ります,D,初級1,6
会い,会います,D,初級1,6
切り,切ります,D,初級1,7
送り,送ります,D,初級1,7
あげ,あげます,E,初級1,7
もらい,もらいます,D,初級1,7
貸し,貸します,E,初級1,7
借り,借ります,E,初級1,7
教え,教えます,E,初級1,7
習い,習います,D,初級1,7
掛け,掛けます,E,初級1,7
生活し,生活します,E,初級1,8
仕事し,仕事します,E,初級1,8
分かり,分かります,D,初級1,9
有り,有ります,D,初級1,9
料理し,料理します,E,初級1,9
旅行し,旅行します,E,初級1,9
約束し,約束します,E,初級1,9
アルバイトし,アルバイトします,E,初級1,9
在り,在ります,D,初級1,10
い,います,E,初級1,10
掛かり,掛かります,D,初級1,11
休み,休みます,C,初級1,11
遊び,遊びます,C,初級2,13
泳ぎ,泳ぎます,B,初級2,13
迎え,迎えます,E,初級2,13
疲れ,疲れます,E,初級2,13
結婚し,結婚します,E,初級2,13
買い物し,買い物します,E,初級2,13
食事し,食事します,E,初級2,13
散歩し,散歩します,E,初級2,13
会い,会います,D,初級2,13
空き,空きます,A,初級2,13
つけ,つけます,E,初級2,14
消し,消します,E,初級2,14
開け,開けます,E,初級2,14
閉め,閉めます,E,初級2,14
急ぎ,急ぎます,B,初級2,14
待ち,待ちます,D,初級2,14
取り,取ります,D,初級2,14
手伝い,手伝います,D,初級2,14
呼び,呼びます,C,初級2,14
話し,話します,E,初級2,14
使い,使います,D,初級2,14
止め,止めます,E,初級2,14
見せ,見せます,E,初級2,14
教え,教えます,E,初級2,14
座り,座ります,D,初級2,14
立ち,立ちます,D,初級2,14
入り,入ります,D,初級2,14
出,出ます,E,初級2,14
降り,降ります,D,初級2,14
電気し,電気します,E,初級2,14
置き,置きます,A,初級2,15
作り,作ります,D,初級2,15
売り,売ります,D,初級2,15
知り,知ります,D,初級2,15
住み,住みます,C,初級2,15
研究し,研究します,E,初級2,15
思い出し,思い出します,E,初級2,15
いらっしゃい,いらっしゃいます,D,初級2,15
乗り,乗ります,D,初級2,16
降り,降ります,E,初級2,16
乗り換え,乗り換えます,E,初級2,16
浴び,浴びます,E,初級2,16
入れ,入れます,E,初級2,16
出し,出します,E,初級2,16
下ろし,下ろします,E,初級2,16
出,出ます,E,初級2,16
押し,押します,E,初級2,16
飲み,飲みます,C,初級2,16
始め,始めます,E,初級2,16
見学し,見学します,E,初級2,16
電話し,電話します,E,初級2,16
覚え,覚えます,E,初級2,17
忘れ,忘れます,E,初級2,17
無くし,無くします,E,初級2,17
払い,払います,D,初級2,17
返し,返します,E,初級2,17
出掛け,出掛けます,E,初級2,17
脱ぎ,脱ぎます,B,初級2,17
心配し,心配します,E,初級2,17
残業し,残業します,E,初級2,17
出張し,出張します,E,初級2,17
出来,出来ます,E,初級2,18
洗い,洗います,D,初級2,18
弾き,弾きます,A,初級2,18
歌い,歌います,D,初級2,18
集め,集めます,E,初級2,18
捨て,捨てます,E,初級2,18
換え,換えます,E,初級2,18
運転し,運転します,E,初級2,18
予約し,予約します,E,初級2,18
